name,popularity,album,release_date,duration_ms
How You Get The Girl,29,reputation Stadium Tour Surprise Song Playlist,2017-11-09,247533
So It Goes...,53,reputation Stadium Tour Surprise Song Playlist,2017-11-09,227906
Fifteen,27,reputation Stadium Tour Surprise Song Playlist,2017-11-09,295320
Mine,36,reputation Stadium Tour Surprise Song Playlist,2017-11-09,231866
Sparks Fly,28,reputation Stadium Tour Surprise Song Playlist,2017-11-09,262920
State Of Grace,26,reputation Stadium Tour Surprise Song Playlist,2017-11-09,295720
Haunted,28,reputation Stadium Tour Surprise Song Playlist,2017-11-09,245413
Never Grow Up,27,reputation Stadium Tour Surprise Song Playlist,2017-11-09,292920
Treacherous,24,reputation Stadium Tour Surprise Song Playlist,2017-11-09,242760
Babe,26,reputation Stadium Tour Surprise Song Playlist,2017-11-09,215106
Welcome To New York,30,reputation Stadium Tour Surprise Song Playlist,2017-11-09,212600
Fearless,27,reputation Stadium Tour Surprise Song Playlist,2017-11-09,242973
Enchanted,39,reputation Stadium Tour Surprise Song Playlist,2017-11-09,353253
Change,24,reputation Stadium Tour Surprise Song Playlist,2017-11-09,281053
Ours,28,reputation Stadium Tour Surprise Song Playlist,2017-11-09,239346
Out Of The Woods,30,reputation Stadium Tour Surprise Song Playlist,2017-11-09,235800
Come Back...Be Here,27,reputation Stadium Tour Surprise Song Playlist,2017-11-09,223920
A Place in this World,25,reputation Stadium Tour Surprise Song Playlist,2017-11-09,202080
This Love,26,reputation Stadium Tour Surprise Song Playlist,2017-11-09,250093
The Lucky One,24,reputation Stadium Tour Surprise Song Playlist,2017-11-09,240266
Invisible,24,reputation Stadium Tour Surprise Song Playlist,2017-11-09,205853
Breathe,29,reputation Stadium Tour Surprise Song Playlist,2017-11-09,264946
Better Man,28,reputation Stadium Tour Surprise Song Playlist,2017-11-09,263613
Jump Then Fall,24,reputation Stadium Tour Surprise Song Playlist,2017-11-09,238093
Begin Again,26,reputation Stadium Tour Surprise Song Playlist,2017-11-09,239426
Tied Together with a Smile,24,reputation Stadium Tour Surprise Song Playlist,2017-11-09,251213
The Story Of Us,27,reputation Stadium Tour Surprise Song Playlist,2017-11-09,267653
Forever & Always,25,reputation Stadium Tour Surprise Song Playlist,2017-11-09,226293
Hey Stephen,24,reputation Stadium Tour Surprise Song Playlist,2017-11-09,256040
Speak Now,27,reputation Stadium Tour Surprise Song Playlist,2017-11-09,243346
Wonderland,28,reputation Stadium Tour Surprise Song Playlist,2017-11-09,245560
White Horse,25,reputation Stadium Tour Surprise Song Playlist,2017-11-09,235400
I'm Only Me When I'm With You,26,reputation Stadium Tour Surprise Song Playlist,2017-11-09,215600
Starlight,25,reputation Stadium Tour Surprise Song Playlist,2017-11-09,220600
I Know Places,26,reputation Stadium Tour Surprise Song Playlist,2017-11-09,195706
Welcome To New York,46,1989 (Deluxe Edition),2014-10-27,212600
Blank Space,48,1989 (Deluxe Edition),2014-10-27,231826
Style,52,1989 (Deluxe Edition),2014-10-27,231000
Out Of The Woods,48,1989 (Deluxe Edition),2014-10-27,235800
All You Had To Do Was Stay,43,1989 (Deluxe Edition),2014-10-27,193293
Shake It Off,50,1989 (Deluxe Edition),2014-10-27,219200
I Wish You Would,46,1989 (Deluxe Edition),2014-10-27,207440
Bad Blood,45,1989 (Deluxe Edition),2014-10-27,211933
Wildest Dreams,46,1989 (Deluxe Edition),2014-10-27,220440
How You Get The Girl,48,1989 (Deluxe Edition),2014-10-27,247533
This Love,44,1989 (Deluxe Edition),2014-10-27,250093
I Know Places,45,1989 (Deluxe Edition),2014-10-27,195706
Clean,50,1989 (Deluxe Edition),2014-10-27,271000
Wonderland,49,1989 (Deluxe Edition),2014-10-27,245560
You Are In Love,50,1989 (Deluxe Edition),2014-10-27,267106
New Romantics,57,1989 (Deluxe Edition),2014-10-27,230466
I Know Places - Voice Memo,28,1989 (Deluxe Edition),2014-10-27,216333
I Wish You Would - Voice Memo,26,1989 (Deluxe Edition),2014-10-27,107133
Blank Space - Voice Memo,27,1989 (Deluxe Edition),2014-10-27,131186
Welcome To New York,53,1989,2014-10-27,212600
Blank Space,69,1989,2014-10-27,231826
Style,67,1989,2014-10-27,231000
Out Of The Woods,53,1989,2014-10-27,235800
All You Had To Do Was Stay,48,1989,2014-10-27,193293
Shake It Off,69,1989,2014-10-27,219200
I Wish You Would,40,1989,2014-10-27,207440
Bad Blood,61,1989,2014-10-27,211933
Wildest Dreams,65,1989,2014-10-27,220440
How You Get The Girl,42,1989,2014-10-27,247533
This Love,39,1989,2014-10-27,250093
I Know Places,39,1989,2014-10-27,195706
Clean,41,1989,2014-10-27,271000
